1,2,2,5,1.96,0.03409,0.18,0,918.2,27.01,0
1,2,2,6,1.87,0.04941,0.1,0.007,917.7,25.139,0
1,2,2,7,1.7,0.0366,0.1,0.007,917.8,21.968,0
1,2,2,8,1.79,0.03602,0.1,0.007,917.7,20.838,38.06
1,2,2,9,6.37,0.29727,0.11,0.02,917.1,21.93,214.05
1,2,2,10,3.38,0.09297,0.58,0.02,917.6,27.907,353.52
1,2,2,11,4.88,0.16725,0.74,0.02,917.4,31.238,444.26
1,2,2,12,6.13,0.23601,0.9,0.071,915.5,32.662,477.89
1,2,2,13,6.31,0.24948,0.97,0.071,916.7,32.856,458.55
1,2,2,14,6.23,0.24724,1.03,0.071,916.2,32.732,384.95
1,2,2,15,3.96,0.11226,1.1,0.277,913.6,32.569,246.27
1,2,2,16,5.42,0.18986,1.09,0.277,915.1,32.339,88.37
1,2,2,17,4.7,0.13706,1.07,0.277,914.4,32.018,0
1,2,2,18,4.07,0.09479,0.95,0.433,911.5,32.673,0
1,2,2,19,4.02,0.07453,0.96,0.433,913.1,33.337,0
1,2,2,20,4.05,0.06147,0.98,0.433,912.4,32.747,0
1,2,2,21,4.1,0.0501,1.03,0.553,910.2,31.702,0
1,2,2,22,4.09,0.04606,0.88,0.553,911.2,31.028,0
1,2,2,23,4.1,0.04455,0.81,0.553,910.8,31.257,0
1,3,3,0,2.26,0,0.85,0.013,910.2,32.204,0
1,3,3,1,3.49,0.0484,0.85,0.013,910.2,32.76,0
1,3,3,2,2.87,0.05479,0.86,0.013,910.2,32.449,0
1,3,3,3,0.66,0,0.88,0.08,910.8,31.552,0
1,3,3,4,1.72,0.06048,0.99,0.08,910.3,31.134,0
1,3,3,5,1.19,0.05885,1.1,0.08,910.5,31.646,0
1,3,3,6,0.58,0.05275,1.21,0.03,913.5,31.003,0
1,3,3,7,0.61,0.06244,1.22,0.03,911.4,29.638,0
1,3,3,8,0.58,0.06905,1.22,0.03,912.3,27.58,36.81
1,3,3,9,2.22,0.15612,1.23,0.073,913.8,25.504,213.61
1,3,3,10,1.12,0.10169,1.37,0.073,913.6,25.057,352.86
1,3,3,11,1.67,0.12901,1.49,0.073,913.7,26.836,443.51
1,3,3,12,2.26,0.16163,1.6,0.234,911.5,29.572,455.14
1,3,3,13,2.26,0.1438,1.66,0.234,913.3,31.984,437.14
1,3,3,14,2.27,0.12892,1.72,0.234,912.5,33.923,367.75
1,3,3,15,1.35,0.06808,1.8,0.357,911.6,34.958,245.63
1,3,3,16,1.96,0.09027,1.71,0.357,911.5,34.894,90.19
1,3,3,17,1.65,0.06784,1.6,0.357,911.6,34.19,0
1,3,3,18,1.86,0.07452,1.48,0.013,913.5,33.687,0
1,3,3,19,1.5,0.05025,1.27,0.013,912,31.251,0
1,3,3,20,1.67,0.05135,1.11,0.013,912.7,29.308,0
1,3,3,21,1.47,0.03344,1.02,0.01,916.9,29.057,0
1,3,3,22,1.7,0.05897,1.09,0.01,914.3,27.771,0
1,3,3,23,1.57,0.06622,1.17,0.01,915.4,26.183,0
1,4,4,0,-0.42,0,1.26,0.003,919.6,28.739,0
1,4,4,1,0.81,0.06859,1.2,0.003,917.5,32.832,0
1,4,4,2,0.18,0.06312,1.15,0.003,918.4,34.707,0
1,4,4,3,-1.35,0.02027,1.09,0,921.4,34.062,0
1,4,4,4,-0.75,0.05609,1.06,0,920,31.808,0
1,4,4,5,-1.06,0.05322,1.03,0,920.6,28.766,0
1,4,4,6,-2.12,0.0206,1.01,0,922.6,24.647,0
1,4,4,7,-1.62,0.05037,0.93,0,921.7,20.869,0
1,4,4,8,-1.87,0.05131,0.87,0,922.1,18.926,38.22
1,4,4,9,2.5,0.26616,0.88,0.01,923.2,18.715,222.91
1,4,4,10,-0.59,0.09563,1,0.01,922.7,18.928,369.12
1,4,4,11,0.95,0.13908,1.06,0.01,922.9,19.769,464.48
1,4,4,12,3.31,0.23424,1.11,0.037,923.1,21.281,493.03
1,4,4,13,2.77,0.20186,1.07,0.037,923.2,22.7,474.24
1,4,4,14,3.04,0.21233,1.04,0.037,923.1,23.718,399.36
1,4,4,15,1.46,0.12531,1,0.03,923.6,24.121,269.22
1,4,4,16,2.69,0.18552,0.88,0.03,923.2,23.267,100.22
1,4,4,17,2.07,0.15099,0.75,0.03,923.4,21.67,0
1,4,4,18,-0.52,0.00756,0.32,0,923.9,19.673,0
1,4,4,19,0.8,0.04023,0.17,0,923.7,18.803,0
1,4,4,20,0.14,0,0.06,0,923.8,17.616,0
1,4,4,21,-1.12,0.01275,0.03,0,923.9,15.838,0
1,4,4,22,-0.72,0.02877,0.02,0,923.9,13.958,0
1,4,4,23,-0.92,0.01967,0.02,0,923.9,12.363,0
1,5,5,0,-1.71,0,0.02,0,923.3,11.038,0
1,5,5,1,-1.31,0.01947,0,0,923.8,9.486,0
1,5,5,2,-1.51,0.03128,0.02,0,923.6,7.296,0
1,5,5,3,-1.76,0.07335,0.08,0,922.9,4.418,0
1,5,5,4,-1.72,0.07091,0.06,0,923.2,2.392,0
1,5,5,5,-1.74,0.06809,0.06,0,923.1,1.841,0
1,5,5,6,-1.08,0.0946,0.07,0.6,920.9,1.884,0
1,5,5,7,-1.51,0.06828,0.44,0.6,922.5,6.72,0
1,5,5,8,-1.29,0.06949,0.59,0.6,921.8,12.627,9.61
1,5,5,9,-0.94,0.07754,0.74,0.923,920.1,18.236,56.02
1,5,5,10,-1.03,0.06822,0.82,0.923,920.7,22.118,92.66
1,5,5,11,-0.98,0.06558,0.9,0.923,920.5,25.401,116.65
1,5,5,12,1.05,0.15266,0.99,0.133,918.8,28.382,388.04
1,5,5,13,-0.26,0.07324,1.02,0.133,919.8,30.913,373.53
1,5,5,14,0.4,0.08554,1.06,0.133,919.4,32.763,315.24
1,5,5,15,-0.32,0.03761,1.1,0,918.4,33.941,200
1,5,5,16,0.6,0.08714,1,0,918.7,33.619,76.11
1,5,5,17,0.14,0.07172,0.86,0,918.6,32.081,0
1,5,5,18,-0.9,0.01578,0.49,0,918.1,30.165,0
1,5,5,19,-0.51,0.04365,0.57,0,918.3,30.376,0
1,5,5,20,-0.7,0.04509,0.68,0,918.2,31.282,0
1,5,5,21,-1.56,0.01711,0.81,0,918.7,31.872,0
1,5,5,22,-1.13,0.0406,0.75,0,918.2,31.329,0
1,5,5,23,-1.35,0.03875,0.69,0,918.4,30.084,0
1,6,6,0,-2.05,0.01951,0.64,0,919.7,28.366,0
1,6,6,1,-1.73,0.03739,0.61,0,918.9,26.5,0
1,6,6,2,-1.9,0.03641,0.58,0,919.3,24.538,0
1,6,6,3,-2.01,0.03777,0.56,0.003,920.1,22.261,0
1,6,6,4,-2.04,0.03549,0.54,0.003,919.8,19.665,0
1,6,6,5,-2.03,0.0348,0.51,0.003,919.9,16.867,0
1,6,6,6,-0.31,0.1036,0.49,0.003,921.5,13.155,0
1,6,6,7,-1.46,0.03525,0.48,0.003,920.4,9.242,0
1,6,6,8,-0.89,0.03789,0.47,0.003,920.9,9.446,38.6
1,6,6,9,3.82,0.24845,0.47,0.013,922.3,12.935,220.89
1,6,6,10,1.06,0.09278,0.86,0.013,921.7,19.203,365.73
1,6,6,11,2.44,0.1468,0.97,0.013,921.9,26.21,460.5
1,6,6,12,3.85,0.2099,1.06,0.027,923.3,32.084,495.76
1,6,6,13,3.82,0.22911,1.1,0.027,922.5,35.853,477.97
1,6,6,14,3.83,0.24825,1.13,0.027,922.9,37.728,403.95
1,6,6,15,1.07,0.11949,1.15,0.007,924.1,38.076,284.39
1,6,6,16,2.92,0.21277,1.04,0.007,923.5,36.995,110.15
1,6,6,17,1.99,0.15763,0.83,0.007,923.7,34.862,0
1,6,6,18,-0.67,0.0473,0.54,0,925.4,32.572,0
1,6,6,19,0.48,0.09366,0.49,0,924.4,31.362,0
1,6,6,20,-0.1,0.06758,0.44,0,924.8,29.583,0
1,6,6,21,-2.08,0,0.4,0,927,27.27,0
1,6,6,22,-1.15,0.04301,0.35,0,925.8,24.726,0
1,6,6,23,-1.62,0.04071,0.32,0,926.3,22.401,0
1,7,7,0,-3.19,0.0002,0.31,0,927.3,20.643,0
1,7,7,1,-2.45,0.04088,0.26,0,927.1,19.463,0
1,7,7,2,-2.82,0.04024,0.23,0,927.2,18.54,0
1,7,7,3,-4.48,0,0.21,0,927,17.722,0
1,7,7,4,-3.62,0.03672,0.13,0,927.2,16.807,0
1,7,7,5,-4.05,0.03401,0.07,0,927.1,15.459,0
1,7,7,6,-3.79,0.01183,0.08,0,926.3,12.529,0
1,7,7,7,-4.24,0.03071,0.02,0,926.8,6.566,0
1,7,7,8,-4.01,0.01706,0.03,0,926.6,5.524,38.6
1,7,7,9,-0.37,0.17347,0.11,0.023,926.7,8.152,109.28
1,7,7,10,-2.65,0.05785,0.39,0.023,926.4,12.728,181
1,7,7,11,-1.51,0.07672,0.46,0.023,926.5,16.807,228.05
1,7,7,12,2.27,0.22513,0.56,0.033,924.6,19.53,403.76
1,7,7,13,0.53,0.1264,0.58,0.033,926.2,21.532,389.37
1,7,7,14,1.41,0.15297,0.63,0.033,925.5,23.25,329.74
1,7,7,15,1.1,0.12144,0.68,0.387,923.1,24.662,215.88
1,7,7,16,1.89,0.13533,0.68,0.387,924.3,25.295,85.14
1,7,7,17,1.5,0.09999,0.67,0.387,923.8,25.783,0
1,7,7,18,0.97,0.06544,0.68,0.478,920.7,27.681,0
1,7,7,19,1.08,0.05956,0.68,0.478,922.6,29.313,0
1,7,7,20,1.04,0.04851,0.67,0.478,921.8,29.853,0
1,7,7,21,3.08,0.1455,0.66,0.738,918,30.25,0
1,7,7,22,1.7,0.04218,0.65,0.738,920.1,30.566,0
1,7,7,23,2.4,0.04911,0.66,0.738,919.2,29.598,0
1,8,8,0,3.72,0.09097,0.7,0.313,917.4,26.532,0
1,8,8,1,3.3,0.05422,0.6,0.313,917.9,23.554,0
1,8,8,2,3.51,0.05688,0.51,0.313,917.7,22.472,0
1,8,8,3,4.97,0.14474,0.4,1.527,915.8,22.474,0
1,8,8,4,4.15,0.074,0.39,1.527,917,23.021,0
1,8,8,5,4.57,0.07471,0.39,1.527,916.5,23.787,0
1,8,8,6,5.35,0.09504,0.41,0.033,916.2,23.4,0
1,8,8,7,5.09,0.03235,0.61,0.033,915.9,24.634,0
1,8,8,8,5.22,0.03258,0.79,0.033,916,28.166,23.36
1,8,8,9,6.49,0.11715,0.99,0.123,917.2,31.257,218.84
1,8,8,10,5.72,0.03217,1.17,0.123,916.4,32.341,361.56
1,8,8,11,6.1,0.0471,1.31,0.123,916.8,32.551,455.24
1,8,8,12,5.73,0.01473,1.4,0.263,917.1,32.858,419.25
1,8,8,13,6.24,0.05809,1.36,0.263,917.2,33.276,404.94
1,8,8,14,5.98,0.05161,1.32,0.263,917.1,33.456,343.62
1,8,8,15,4.05,0,1.26,0.107,916.7,33.32,277.23
1,8,8,16,5.17,0.04045,1.26,0.107,917,33.14,111.88
1,8,8,17,4.61,0.04297,1.3,0.107,916.9,33.141,0
1,8,8,18,5.65,0.14448,1.36,0.42,917.2,34.556,0
1,8,8,19,4.58,0.04857,1.38,0.42,916.8,35.22,0
1,8,8,20,5.11,0.0503,1.4,0.42,917,34.943,0
1,8,8,21,6.56,0.11262,1.42,0.34,917.4,34.201,0
1,8,8,22,5.95,0.05388,1.35,0.34,917.2,33.14,0
1,8,8,23,6.25,0.05513,1.3,0.34,917.3,32.238,0
1,9,9,0,6.83,0.07534,1.27,1.517,917.4,31.899,0
1,9,9,1,6.65,0.05791,1.26,1.517,917.4,31.965,0
1,9,9,2,6.74,0.05894,1.25,1.517,917.4,32.129,0
1,9,9,3,7.19,0.08389,1.23,0.01,918.5,32.3,0
1,9,9,4,6.94,0.06125,1.16,0.01,917.6,32.257,0
1,9,9,5,7.06,0.06272,1.08,0.01,918,32.171,0
1,9,9,6,7.21,0.06544,1.02,0.157,918.9,31.194,0
1,9,9,7,7.19,0.05548,1.05,0.157,918.6,30.769,0
1,9,9,8,7.2,0.04906,1.08,0.157,918.7,31.423,31.16
1,9,9,9,7.78,0.0835,1.11,0.01,921.1,32.431,216.41
1,9,9,10,7.38,0.04057,1.24,0.01,919.4,33.695,357.64
1,9,9,11,7.57,0.05294,1.37,0.01,920.1,35.023,450.38
1,9,9,12,6.91,0.01285,1.51,0.018,922.9,36.206,510.77
1,9,9,13,7.47,0.10578,1.37,0.018,921.5,36.969,494
1,9,9,14,7.18,0.13686,1.24,0.018,922.1,37.283,419.8
1,9,9,15,4.02,0,1.11,0.002,924.4,36.688,294.48
1,9,9,16,5.93,0.11738,0.96,0.002,923.2,35.053,120.8
1,9,9,17,4.97,0.07973,0.79,0.002,923.7,32.865,0
1,9,9,18,3.41,0.04745,0.57,0,926.2,31.468,0
1,9,9,19,3.8,0.07034,0.55,0,924.8,31.646,0
1,9,9,20,3.6,0.06122,0.53,0,925.4,31.57,0
1,9,9,21,2.14,0,0.51,0,927.3,31.331,0
1,9,9,22,2.98,0.05362,0.47,0,926.4,30.836,0
1,9,9,23,2.55,0.05345,0.43,0,926.8,30.132,0
1,10,10,0,1.98,0.04611,0.39,0,929.4,29.269,0
1,10,10,1,2.07,0.0549,0.44,0,927.8,28.728,0
1,10,10,2,2.01,0.05513,0.49,0,928.5,28.653,0
1,10,10,3,1.18,0.0172,0.55,0,928.8,29.011,0
1,10,10,4,1.72,0.05245,0.52,0,929.3,29.31,0
1,10,10,5,1.45,0.04758,0.5,0,929.1,29.332,0
1,10,10,6,1.23,0.04276,0.49,0,930.9,27.773,0
1,10,10,7,1.18,0.0412,0.49,0,929.3,24.961,0
1,10,10,8,1.19,0.04725,0.52,0,930,23.383,40.7
1,10,10,9,6.98,0.39553,0.58,0,931.7,22.91,227.78
1,10,10,10,3.14,0.12317,0.81,0,931.1,24.771,376.65
1,10,10,11,5.06,0.19267,0.87,0,931.3,27.381,474.79
1,10,10,12,7.29,0.30045,0.92,0.143,931.1,29.009,511.71
1,10,10,13,7.09,0.25832,0.94,0.143,931.6,29.839,495.06
1,10,10,14,7.19,0.23751,0.94,0.143,931.4,30.31,421.38
1,10,10,15,5.58,0.09959,0.93,0.033,931.5,30.256,288.31
1,10,10,16,6.72,0.16332,0.85,0.033,931.2,28.528,119.97
1,10,10,17,6.15,0.10699,0.67,0.033,931.3,25.618,0
1,10,10,18,4.49,0.01685,0.43,0.003,932.6,23.229,0
1,10,10,19,5.21,0.05714,0.36,0.003,931.7,22.618,0
1,10,10,20,4.84,0.03988,0.29,0.003,932.1,21.636,0
1,10,10,21,3.96,0.02217,0.21,0.017,933.8,20.248,0
1,10,10,22,4.3,0.06138,0.2,0.017,932.9,18.728,0
1,10,10,23,4.13,0.06371,0.2,0.017,933.3,17.135,0
1,11,11,0,4.66,0.10069,0.22,0.002,933.9,15.621,0
1,11,11,1,4.19,0.06151,0.22,0.002,933.8,14.59,0
1,11,11,2,4.43,0.06252,0.22,0.002,933.9,13.891,0
1,11,11,3,4.93,0.07808,0.23,0,934.5,13.528,0
1,11,11,4,4.74,0.08059,0.27,0,934,13.432,0
1,11,11,5,4.83,0.0884,0.31,0,934.2,13.33,0
1,11,11,6,7.53,0.26532,0.37,0.007,934.5,12.153,0
1,11,11,7,5.8,0.09012,0.34,0.007,934.5,9.004,0
1,11,11,8,6.66,0.0881,0.31,0.007,934.5,8.443,41.31
1,11,11,9,13.81,0.63709,0.27,0,934.8,10.485,228.84
1,11,11,10,9.62,0.06879,0.71,0,934.6,15.975,378.06
1,11,11,11,11.71,0.18441,0.73,0,934.7,21.103,476.66
1,11,11,12,14.32,0.38469,0.72,0.017,934.2,24.674,518.88
1,11,11,13,13.99,0.35436,0.73,0.017,934.7,26.54,502.46
1,11,11,14,14.16,0.3757,0.74,0.017,934.5,27.466,428.39
1,11,11,15,10.19,0,0.73,0.003,935.3,27.734,300.92
1,11,11,16,12.93,0.26977,0.68,0.003,934.4,27.327,127.34
1,11,11,17,11.56,0.15075,0.55,0.003,934.8,25.802,0
1,11,11,18,7.11,0,0.21,0,935.9,23.592,0
1,11,11,19,9.16,0.11844,0.23,0,935.4,22.898,0
1,11,11,20,8.13,0.11442,0.27,0,935.6,22.611,0
1,11,11,21,6.19,0.03082,0.33,0,935.9,22.418,0
1,11,11,22,6.8,0.09136,0.35,0,935.9,22.118,0
1,11,11,23,6.5,0.09102,0.37,0,935.9,21.522,0
1,12,12,0,5.55,0.05182,0.39,0,934.6,20.595,0
1,12,12,1,5.99,0.0863,0.35,0,935.6,19.277,0
1,12,12,2,5.78,0.08157,0.31,0,935.2,17.804,0
1,12,12,3,3.97,0,0.28,0,934.8,16.287,0
1,12,12,4,5.02,0.06543,0.24,0,934.6,14.845,0
1,12,12,5,4.49,0.05156,0.22,0,934.7,13.479,0
1,12,12,6,4.38,0.05813,0.19,0,934.7,11.277,0
1,12,12,7,4.11,0.04062,0.2,0,934.8,7.187,0
1,12,12,8,4.24,0.04874,0.21,0,934.7,7.113,42.38
1,12,12,9,11.71,0.61,0.21,0,934.7,9.229,230.49
1,12,12,10,6.82,0.0601,0.65,0,934.7,14.878,380.11
1,12,12,11,9.27,0.19327,0.65,0,934.7,20.485,479.18
1,12,12,12,14.19,0.60806,0.63,0,933.4,23.962,521.52
1,12,12,13,12.55,0.43737,0.62,0,934.4,25.996,505.4
1,12,12,14,13.38,0.51263,0.63,0,934,27.738,431.72
1,12,12,15,9.69,0.15768,0.63,0,933,29.009,305.1
1,12,12,16,12.69,0.44876,0.62,0,933.3,28.837,131.41
1,12,12,17,11.19,0.32181,0.56,0,933.2,27.493,0
1,12,12,18,6.37,0,0.19,0,933.2,25.825,0
1,12,12,19,8.58,0.17535,0.2,0,933,26.226,0
1,12,12,20,7.47,0.11991,0.22,0,933.1,27.319,0
1,12,12,21,4.48,0,0.24,0,933.7,28.427,0
1,12,12,22,5.74,0.06469,0.26,0,933.3,29.273,0
1,12,12,23,5.11,0.06622,0.28,0,933.5,29.575,0
1,13,13,0,2.98,0,0.3,0,933.2,28.979,0
1,13,13,1,3.98,0.03666,0.22,0,933.6,27.205,0
1,13,13,2,3.48,0.00375,0.16,0,933.4,25.027,0
1,13,13,3,1.63,0,0.13,0,933.5,22.746,0
1,13,13,4,2.53,0,0.13,0,933.3,20.644,0
1,13,13,5,2.08,0,0.13,0,933.4,18.854,0
1,13,13,6,3.12,0.00541,0.13,0,933.7,16.244,0
1,13,13,7,2.12,0,0.19,0,933.5,13.149,0
1,13,13,8,2.62,0,0.24,0,933.6,14.179,43.67
1,13,13,9,9.62,0.48679,0.28,0,933.3,16.806,232.45
1,13,13,10,5.29,0.15291,0.7,0,933.6,23.067,382.49
1,13,13,11,7.46,0.28873,0.73,0,933.5,30.309,482.02
1,13,13,12,11.23,0.5872,0.72,0,931.6,35.169,525.55
1,13,13,13,10.17,0.50246,0.76,0,932.9,37.286,509.71
1,13,13,14,10.71,0.55364,0.8,0,932.4,38.099,436.24
1,13,13,15,7.12,0.27229,0.82,0,931.5,37.831,309.22
1,13,13,16,9.86,0.47845,0.78,0,931.6,36.141,135.62
1,13,13,17,8.49,0.34428,0.61,0,931.5,33.264,0
1,13,13,18,3.4,0.03025,0.31,0,932.5,30.574,0
1,13,13,19,5.87,0.20751,0.31,0,931.7,29.97,0
1,13,13,20,4.63,0.15961,0.32,0,932.1,29.584,0
1,13,13,21,1.52,0.01987,0.33,0,932.6,29.145,0
1,13,13,22,2.77,0.09261,0.32,0,932.5,28.304,0
1,13,13,23,2.15,0.06967,0.31,0,932.6,27.063,0
1,14,14,0,-0.15,0,0.3,0,932.4,25.551,0
1,14,14,1,0.97,0.04395,0.27,0,932.6,23.789,0
1,14,14,2,0.41,0.04477,0.24,0,932.5,21.886,0
1,14,14,3,-0.8,0.02234,0.23,0,932.5,20.071,0
1,14,14,4,-0.37,0.0528,0.24,0,932.4,18.72,0
1,14,14,5,-0.58,0.05487,0.26,0,932.5,17.777,0
1,14,14,6,0.18,0.09961,0.28,0,931.9,16.108,0
1,14,14,7,-0.47,0.04946,0.3,0,932.4,13.716,0
1,14,14,8,-0.14,0.05383,0.33,0,932.2,13.479,45.11
1,14,14,9,7.09,0.45869,0.36,0,931.8,15.074,234.58
1,14,14,10,2.48,0.15571,0.73,0,931.9,23.527,385.09
1,14,14,11,4.79,0.2572,0.84,0,931.8,29.479,485.05
1,14,14,12,9.22,0.53905,0.94,0,931,33.135,528.83
1,14,14,13,7.81,0.41464,0.93,0,931.6,35.549,513.45
1,14,14,14,8.52,0.44968,0.91,0,931.4,37.284,440.21
1,14,14,15,6.1,0.25858,0.89,0,930.8,38.078,313.33
1,14,14,16,8.18,0.38976,0.87,0,931,37.534,139.79
1,14,14,17,7.14,0.28798,0.73,0,930.9,35.88,0
1,14,14,18,3.95,0.07489,0.38,0.003,931.1,33.845,0
1,14,14,19,5.38,0.15471,0.37,0.003,930.9,33.48,0
1,14,14,20,4.66,0.10573,0.37,0.003,931,33.124,0
1,14,14,21,2.84,0,0.37,0,932.1,32.576,0
1,14,14,22,3.57,0.06169,0.39,0,931.3,31.769,0
1,14,14,23,3.2,0.06206,0.41,0,931.7,30.63,0
1,15,15,0,2.37,0.0361,0.43,0,932.4,29.423,0
1,15,15,1,2.68,0.06243,0.42,0,932.2,28.28,0
1,15,15,2,2.52,0.06321,0.42,0,932.3,27.536,0
1,15,15,3,2.36,0.0627,0.43,0.037,932.2,27.296,0
1,15,15,4,2.37,0.053,0.49,0.037,932.4,28.219,0
1,15,15,5,2.37,0.04919,0.55,0.037,932.3,29.761,0
1,15,15,6,2.65,0.06377,0.61,0.027,932.2,29.898,0
1,15,15,7,2.46,0.0549,0.63,0.027,932.2,29.311,0
1,15,15,8,2.55,0.06417,0.67,0.027,932.2,29.71,46.56
1,15,15,9,7.86,0.40176,0.72,0.03,931.8,30.467,235.52
1,15,15,10,4.39,0.13414,0.97,0.03,932.1,31.36,385.72
1,15,15,11,6.13,0.20455,1.07,0.03,932,32.708,485.65
1,15,15,12,9.73,0.43442,1.17,0.02,929.9,34.184,531.91
1,15,15,13,8.5,0.34032,1.14,0.02,931.4,35.33,516.75
1,15,15,14,9.13,0.39157,1.11,0.02,930.7,36.062,443.87
1,15,15,15,7.02,0.23689,1.08,0.01,929.1,36.149,314.45
1,15,15,16,8.83,0.35714,1.01,0.01,929.7,35.132,142.63
1,15,15,17,7.93,0.26775,0.83,0.01,929.5,33.606,0
1,15,15,18,4.6,0.04455,0.58,0.003,930.5,32.658,0
1,15,15,19,6.2,0.15835,0.54,0.003,929.4,33.099,0
1,15,15,20,5.39,0.12074,0.51,0.003,929.9,32.943,0
1,15,15,21,3.82,0.0434,0.48,0.007,930.6,32.266,0
1,15,15,22,4.34,0.07927,0.48,0.007,930.5,31.494,0
1,15,15,23,4.08,0.0696,0.48,0.007,930.6,30.859,0
1,16,16,0,1.9,0,0.5,0.003,930.6,30.322,0
1,16,16,1,3.18,0.05204,0.44,0.003,930.6,29.493,0
1,16,16,2,2.54,0.05219,0.38,0.003,930.6,28.453,0
1,16,16,3,2.1,0.0781,0.31,0.003,930.1,27.197,0
1,16,16,4,1.97,0.06691,0.34,0.003,930.5,26.418,0
1,16,16,5,2.04,0.06751,0.36,0.003,930.3,26.017,0
1,16,16,6,4.4,0.19609,0.38,0.137,929.8,24.483,0
1,16,16,7,2.87,0.04341,0.48,0.137,930,22.918,0
1,16,16,8,3.64,0.04355,0.57,0.137,929.9,23.574,44.92
1,16,16,9,7.68,0.269,0.64,0.163,929.9,25.123,193.32
1,16,16,10,5.49,0.07535,0.89,0.163,929.8,26.496,315.75
1,16,16,11,6.59,0.10672,0.99,0.163,929.9,28.047,397.27
1,16,16,12,9.72,0.30211,1.08,0.063,928.5,29.84,446.21
1,16,16,13,8.37,0.16675,1.05,0.063,929.6,31.322,433.9
1,16,16,14,9.05,0.19043,1.03,0.063,929.1,32.242,373.37
1,16,16,15,8.07,0.08686,1,0.03,927.9,32.427,267.72
1,16,16,16,9.18,0.17117,0.95,0.03,928.4,31.535,123.46
1,16,16,17,8.63,0.12748,0.81,0.03,928.2,30.043,0
1,16,16,18,7.47,0.05673,0.64,0.077,927.7,29.763,0
1,16,16,19,7.87,0.09308,0.68,0.077,927.9,30.349,0
1,16,16,20,7.67,0.08576,0.73,0.077,927.8,30.09,0
1,16,16,21,7.62,0.08959,0.78,0.637,927,29.428,0
1,16,16,22,7.53,0.07324,0.92,0.637,927.5,28.833,0
1,16,16,23,7.58,0.06782,1.04,0.637,927.3,28.464,0
1,17,17,0,6.71,0,1.15,0.28,927.6,28.153,0
1,17,17,1,7.31,0.05881,1.07,0.28,927.1,27.577,0
1,17,17,2,7.01,0.05753,1,0.28,927.3,26.964,0
1,17,17,3,7.29,0.09788,0.94,0.367,928.2,26.406,0
1,17,17,4,6.9,0.05952,0.77,0.367,927.7,25.967,0
1,17,17,5,7.09,0.06288,0.66,0.367,927.9,25.861,0
1,17,17,6,7.73,0.09668,0.62,0.033,929.3,24.589,0
1,17,17,7,7.43,0.0609,0.59,0.033,928.4,23.215,0
1,17,17,8,7.57,0.05798,0.6,0.033,928.8,23.679,47.48
1,17,17,9,8.55,0.12531,0.67,0.037,930.5,25.234,237.8
1,17,17,10,7.99,0.12482,0.88,0.037,929.6,27.978,387.52
1,17,17,11,8.27,0.19064,0.94,0.037,930,30.543,487.19
1,17,17,12,7.75,0.19986,0.98,0.053,931,32.685,526.38
1,17,17,13,8.28,0.25629,0.95,0.053,930.6,34.146,512.47
1,17,17,14,8.01,0.25289,0.91,0.053,930.8,35.018,441.62
1,17,17,15,4.93,0.06015,0.87,0.013,932,35.207,323.23
1,17,17,16,6.8,0.19962,0.78,0.013,931.2,34.601,151.32
1,17,17,17,5.86,0.14731,0.64,0.013,931.6,33.059,0
